"","Liver_LTDR_rep1","Liver_LTDR_rep2","Liver_LTDR_rep3","Liver_LTAL_rep1","Liver_LTAL_rep2","Liver_LTAL_rep3","Liver_Young_rep1","Liver_Young_rep2","Liver_Young_rep3","Liver_STDR_rep1","Liver_STDR_rep2","Liver_STDR_rep3"
"Vars",432.59360752511,570.437481234493,391.14059833011,317.932156831704,320.434689491747,379.931482029501,211.055216443817,287.989631510749,447.862408858167,263.196605872282,365.555921946143,308.419143207333
"Vars2",264.168632705156,337.488264511028,247.968379318711,269.485351981158,257.640571666275,201.431862413683,258.616955360733,259.704935558801,254.925142758368,212.81913052954,213.240954468584,240.12633292571
"Vash1",37.0395172840563,42.8033896453011,36.1620553173121,46.4281879817726,44.3252596415097,66.9373573559317,38.6439128699946,51.4267199126338,47.2657559521595,47.2931401176756,48.5151377891486,51.770356181231
"Vash2",2.09657645004092,3.29256843425393,0.738001128924736,4.03723373754544,0,1.23958069177651,2.97260868230727,1.28566799781585,2.32454537469637,2.0562234833772,1.12825901835229,0
"Vasn",135.57861043598,158.866426952752,134.316205464302,68.6329735382725,73.8754327358496,123.338278831763,74.3152170576819,88.7110918492934,113.902723360122,125.429632486009,153.443226495912,100.236221542383
"Vasp",194.282751037125,232.949216723465,191.880293520431,221.038547130613,296.425173852596,639.003846610792,148.630434115364,212.135219639615,235.553931302565,241.606259296821,155.699744532617,201.573940024793
"Vat1",330.560220289785,352.30482246517,321.03049108226,364.360344813476,385.999136044814,511.327035357811,318.069129006878,303.41764748454,288.243626462349,294.03995812294,298.988639863358,258.851780906155
"Vat1l",0,1.64628421712696,0,0,0.923442909198119,0,2.97260868230727,0,0.774848458232122,66.827263209759,0,2.20299388005238
"Vav1",62.8972935012276,110.301042547507,74.5381140213983,107.996002479341,183.765138930426,464.842759416192,112.959129927676,69.4260718820557,51.9148467015522,157.301096478356,103.799829688411,109.048197062593
"Vav2",867.283791500261,888.170335139998,836.155279071726,647.976014876044,658.414794258259,800.149336541739,549.932606226846,671.118694859872,729.132399196427,674.441302547721,608.131610891887,725.88648347726
"Vav3",61.499575867867,47.742242296682,74.5381140213983,41.3816458098408,51.7128029150947,78.7133739278086,11.8904347292291,38.5700399344754,58.8884828256413,75.0521571432678,57.541209935967,56.1763439413357
"Vax1",0,0,0,0,0,0,0,0,0,0,0,0
"Vax2",0,0,0,0,0,0,0,0,0,0,0,0
"Vbp1",261.373197438435,265.051758957441,298.890457214518,349.220718297681,326.898789856134,341.504480584429,217.000433808431,332.988011434304,284.369384171189,197.397454404211,210.984436431879,92.5257429622
"Vcam1",705.84740484711,671.683960587802,726.19311086194,635.864313663407,1196.78201032076,863.367951822341,386.439128699946,537.409223087024,199.910902223888,1137.09158630759,1703.67111771196,830.528692779748
"Vcan",3.49429408340153,1.64628421712696,4.42800677354842,3.02792530315908,19.3923010931605,38.4270014450719,11.8904347292291,14.1423479759743,8.52333304055334,12.3373409002632,6.76955411011376,4.40598776010476
