"","Kidney_LTDR_rep1","Kidney_LTDR_rep2","Kidney_LTDR_rep3","Kidney_LTAL_rep1","Kidney_LTAL_rep2","Kidney_LTAL_rep3","Kidney_Young_rep1","Kidney_Young_rep2","Kidney_Young_rep3","Kidney_STDR_rep1","Kidney_STDR_rep2","Kidney_STDR_rep3"
"Cenpi",3.48016641226937,8.03011647100686,6.54653461414267,14.5628828150992,23.9020973896668,32.298119325081,21.0920667635179,4.37876879479028,10.6698666758636,2.52872325152316,8.19908912156887,10.517773312689
"Cenpj",109.625241986485,142.352064713303,109.65445478689,116.074742437997,153.102623820298,148.083830113107,119.728496628205,121.145936655864,111.271466762578,106.206376563973,106.588158580395,126.213279752268
"Cenpk",15.6607488552122,9.49013764755356,9.81980192121401,14.1345627323022,16.796068435982,15.8443604236247,15.5088726202338,7.29794799131714,9.14560000788309,13.9079778833774,11.2737475421572,7.51269522334931
"Cenpl",34.8016641226938,37.2305400019409,14.729702881821,33.8372865409658,40.6981658256488,43.267291926052,35.360229574133,27.7322023670051,45.7280000394154,35.4021255213243,52.2691931500016,28.5482418487274
"Cenpm",8.70041603067344,5.11007411791345,4.909900960607,8.56640165594071,5.8140236893784,13.4067665122978,9.30532357214026,5.83835839305371,1.52426666798052,1.26436162576158,2.04977228039222,4.50761713400958
"Cenpn",10.4404992368081,12.410180000647,14.729702881821,15.8478430634903,22.6100921253604,26.8135330245956,19.8513569538992,13.1363063843708,12.1941333438441,6.32180812880791,13.3235198225494,13.5228514020288
"Cenpo",99.1847427496772,93.4413552989889,104.744553826283,71.1011337443079,89.1483632371355,117.613906221522,98.6364298646868,84.6561966992788,82.3104000709478,85.9765905517876,101.463727879415,97.665037903541
"Cenpp",29.5814145042897,18.9802752951071,19.639603842428,23.5576045538369,28.4241158147388,18.8913528127833,29.7770354308488,17.5150751791611,12.1941333438441,20.2297860121853,15.3732921029416,4.50761713400958
"Cenpq",69.6033282453875,56.9408258853213,58.9188115272841,80.9524956486397,81.3963316512976,78.0030051624599,83.7479121492623,78.8178383062251,85.3589334069088,84.712228926026,61.4931684117666,69.1167960548136
"Cenpt",50.4624129779059,37.2305400019409,47.4623759525344,42.4036881969065,40.6981658256488,76.1748097289647,41.5637786222265,37.9493295548491,21.3397333517272,55.6319115335096,48.1696485892171,49.5837884741054
"Cenpv",179.228570231873,110.961609417549,145.660395164674,146.913788399383,123.386502741253,112.129319921036,190.448955776471,178.069930988138,163.096533473915,155.516479968675,141.434287347063,118.700584528919
"Cenpw",13.9206656490775,11.6801694123736,14.729702881821,12.421282401114,10.9820447466036,19.500751290615,15.5088726202338,13.1363063843708,9.14560000788309,13.9079778833774,5.12443070098055,1.50253904466986
"Cep110",490.703464129982,673.069762388029,481.170294139486,472.008731242333,548.456234698029,658.150356058255,430.526303937689,430.578931487711,457.280000394155,585.399432727613,627.230317800019,596.508000733935
"Cep120",595.108456498063,641.679307092275,540.089105666771,482.288413229462,531.660166262047,528.957878757931,449.757305986779,534.209792964414,528.920533789239,749.766444076618,533.965679042173,611.533391180634
"Cep135",226.210816797509,244.553547071572,180.029701888924,209.44852048775,208.658850185469,227.305632231231,191.06931068128,185.367878979455,243.882666876882,211.148391502184,224.450064702948,190.822458673072
"Cep152",137.46657328464,147.462138831217,93.2881182515331,125.069464176734,136.306555384316,152.349619457929,101.117849483924,102.17127187844,108.222933426617,130.229247453443,118.886792262749,135.228514020288
"Cep164",323.655476341052,369.385357666315,340.419799935419,325.951583008544,319.125300283659,372.34246995518,312.038517119103,306.51381563532,304.853333596103,262.987218158409,321.814248021578,395.167768748174
"Cep170",567.267125199908,667.229677681842,546.635640280913,537.970023993076,625.976550556408,811.109373994016,365.389038932708,408.68508751376,452.707200390213,814.248886990459,614.931684117666,805.360927943046
"Cep192",410.659636647786,470.856829436311,312.597027825313,398.76599708404,387.601579291893,512.504119856475,341.815552549952,272.943254875261,315.523200271967,383.101572605759,373.058555031384,353.096675497417
"Cep250",471.5625488625,606.638798855154,456.620789336451,355.933988804336,374.68152664883,556.380810260358,363.527974218279,386.791243539808,353.629866971479,428.618591133176,502.194208696094,507.858197098413
"Cep290",401.959220617113,453.336575317751,515.539600863736,495.994655878967,410.211671417254,383.921041033982,434.248433366545,411.604266710286,602.085333852303,450.112738771123,379.20787187256,323.04589460402
"Cep350",1901.91094430521,2210.47206129171,2093.25444287212,1611.34015148245,1594.33449615399,1880.60370258868,1437.98266934807,1697.50270278037,2184.27413521608,1897.80680026814,2118.43965178536,1999.87946845559
"Cep55",10.4404992368081,8.76012705928021,8.18316826767834,18.4177635602725,21.3180868610541,42.0484949703885,14.2681628106151,7.29794799131714,10.6698666758636,7.58616975456949,13.3235198225494,7.51269522334931
