"","Heart_Young_rep1","Heart_Young_rep2","Heart_Young_rep3","Heart_LTDR_rep1","Heart_LTDR_rep2","Heart_LTDR_rep3","Heart_LTAL_rep1","Heart_LTAL_rep2","Heart_LTAL_rep3","Heart_STDR_rep1","Heart_STDR_rep2","Heart_STDR_rep3"
"Gm13287",3.08842585715436,1.18894986766661,0.764125521708722,0,0,0,0,0.715161334084534,0,0,0,0
"Gm13288",0,0,0,0,0,0,0.780622086565894,0.715161334084534,0,0,0,0
"Gm13289",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13290",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13298",0,0,0,0,0,0,0,0,0,0,0,0
"Gm1330",0,0,0,0,0,0,0,0,0,0,0,1.53122594941777
"Gm13304",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13305",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13306",0,0,0,0,0,0,0,0,0,0,0,0
"Gm13308",4.11790114287248,0,0.764125521708722,1.50760169651836,0,0,2.34186625969768,0.715161334084534,0,0.890939058018122,0,0
"Gm13318",1.02947528571812,0,0,0,0,0,0,0,0,0,0,0
"Gm1332",2.05895057143624,0,2.29237656512617,0.753800848259181,0,0,0.780622086565894,1.43032266816907,0,0.890939058018122,0,0
"Gm13334",2.05895057143624,1.18894986766661,2.29237656512617,5.27660593781427,2.21793516450394,2.68248714337794,0.780622086565894,0.715161334084534,4.702997125141,1.78187811603624,3.99395458630995,1.53122594941777
"Gm1337",8.23580228574496,2.37789973533322,12.2260083473396,1.50760169651836,9.98070824026773,2.68248714337794,10.1480871253566,2.86064533633814,5.87874640642625,5.34563434810873,25.9607048110147,12.2498075953421
