"","Muscle_LTDR_rep1","Muscle_LTDR_rep2","Muscle_LTDR_rep3","Muscle_LTAL_rep1","Muscle_LTAL_rep3","Muscle_Young_rep1","Muscle_Young_rep2","Muscle_Young_rep3","Muscle_STDR_rep1","Muscle_STDR_rep2"
"Brwd3",131.973670415789,136.964961308053,89.1840196992409,179.217914115485,130.851832230711,222.567969814359,178.751914326672,161.87587796742,114.819655155726,134.367181275212
"Bscl2",530.72268888635,599.956947079445,808.658947849848,528.436821049087,532.466301923432,164.664107748835,331.96784089239,224.053367517819,187.044922108521,151.053301825728
"Bsdc1",281.858053245149,315.103438592145,302.711143786847,282.652253119279,263.716769572664,322.090232739479,228.062787244374,236.917675700661,417.610197380906,443.499519895307
"Bsg",3949.78342172967,4038.36566899694,4367.44434930994,1586.33456551363,2819.35370829401,3246.23526704846,2896.13323261292,3206.4288145732,4077.0237229892,2761.11384267494
"Bsn",5.65601444639094,3.36110334498288,3.43015460381696,27.6507638921034,8.05242044496683,3.61899137909528,238.629402869596,10.7202568190344,12.0375444921325,28.1029398745541
"Bsnd",0,0,0,4.0964094654968,0,0,2.64165390630549,0,0,0
"Bsph1",0,0,0,0,0,0,0,0,0,0
"Bspry",2.82800722319547,1.68055167249144,2.57261595286272,13.3133307628646,4.02621022248342,1.80949568954764,4.40275651050916,3.21607704571033,33.3347385935978,0.878216871079816
"Bst1",24.5093959343607,15.9652408886687,15.4356957171763,38.9158899222196,34.222786891109,7.23798275819055,13.2082695315275,10.7202568190344,14.8154393749324,43.9108435539908
"Bst2",151.769720978157,59.6595843734462,102.047099463555,133.133307628646,155.009093565612,137.52167240562,78.369065887063,57.8893868227859,62.9656173434625,81.6741690104229
"Bsx",0,0,0,2.0482047327484,0,0,0.880551302101832,0,0,0
"Btaf1",685.320417087702,701.630323265177,626.003215196595,601.148089061655,698.547473600873,463.230896524195,591.730475012431,543.517020725045,636.137928161158,627.925062822069
"Btbd1",842.74615251225,1090.67803544695,957.013134464932,557.111687307564,817.320675164134,922.842801669295,802.182236214769,1201.74078941376,648.175472653291,620.02111098235
"Btbd10",106.521605407029,115.117789565664,114.052640576914,132.109205262272,125.819069452607,77.8083146505484,117.113323179544,107.202568190344,124.079304765059,99.2385064320192
"Btbd11",26.3947340831577,11.7638617074401,21.438466273856,51.20511831871,30.1965766686256,32.5709224118575,37.8637059903788,61.1054638684962,21.2971941014653,40.3979760696716
"Btbd16",0.94266907439849,0,0,3.0723070991226,1.00655255562085,0,4.40275651050916,0,0.925964960933273,2.63465061323945
"Btbd17",0.94266907439849,0.840275836245721,4.2876932547712,5.120511831871,6.03931533372513,1.80949568954764,4.40275651050916,0,0,4.39108435539908
"Btbd19",7.54135259518792,14.2846892161773,17.1507730190848,22.5302520602324,16.1048408899337,14.4759655163811,14.9693721357311,6.43215409142065,24.0750889842651,27.2247230034743
"Btbd2",177.221785986916,240.318889166276,172.365268841802,154.639457322504,211.376036680379,224.377465503907,139.127105732089,222.981341835916,193.526676835054,174.765157344883
