"","Skin_LTDR_rep1","Skin_LTDR_rep3","Skin_LTAL_rep1","Skin_LTAL_rep2","Skin_Young_rep1","Skin_Young_rep2","Skin_Young_rep3","Skin_STDR_rep1","Skin_STDR_rep2","Skin_STDR_rep3"
"Bckdha",247.440004005221,211.552319412182,159.260584440573,147.447514516192,161.037018055331,465.874232139871,370.162191108836,1173.80869061331,306.510354387411,207.168496818946
"Bckdhb",165.689914186387,175.981575440222,134.332840789005,139.841095116547,80.5185090276653,212.856330201838,180.078903782677,418.29722221985,102.170118129137,165.193180470009
"Bckdk",301.453456206951,243.378774544988,202.191698507163,196.011576837001,229.626859078897,787.166806029438,496.884382659609,459.2176026544,275.85931894867,251.174876862186
"Bcl10",125.54478079321,142.282975887839,130.178216847077,115.266509363848,161.037018055331,136.549343903066,143.396164123243,102.300951086376,102.170118129137,167.901265395747
"Bcl11a",145.252391731679,138.538687048686,168.954706971739,210.054197267114,113.322346038936,36.1454145625762,26.6783561159522,32.584747383068,72.0866944577799,85.3046751607425
"Bcl11b",209.484605160762,327.625273425946,303.287547760744,365.108131182951,161.037018055331,50.8713241991814,30.0131506304462,50.7715831317571,121.468918220196,152.329777072755
"Bcl2",118.975577147053,134.794398209532,180.033704150214,167.926335976774,217.698191074799,92.3716149932503,83.3698628623505,193.235129829822,143.038165380792,214.615730364725
"Bcl2a1a",0,0.936072209788417,1.38487464730933,0.585109184588062,2.98216700102464,1.33871905787319,0,0,0,1.35404246286893
"Bcl2a1b",1.45982303247918,3.74428883915367,3.46218661827334,3.51065510752837,2.98216700102464,1.33871905787319,3.33479451449402,1.51556964572409,0,4.06212738860679
"Bcl2a1c",0,0,0.692437323654667,0,0,0,0,0,0,1.35404246286893
"Bcl2a1d",3.64955758119795,1.87214441957683,4.84706126558267,4.68087347670449,5.96433400204928,2.67743811574639,6.66958902898804,1.51556964572409,0,2.03106369430339
"Bcl2l1",116.055931082095,122.625459482283,145.41183796748,165.585899238421,110.340179037912,103.081367456236,103.378629949315,149.283610103823,288.914389598504,209.19956051325
"Bcl2l10",1.45982303247918,2.80821662936525,3.46218661827334,0.585109184588062,2.98216700102464,1.33871905787319,3.33479451449402,14.3979116343789,3.97328237168866,2.03106369430339
"Bcl2l11",72.9911516239591,72.0775601537081,58.1647351869921,66.702447043039,89.4650100307392,61.5810766621669,50.0219177174103,106.089875200686,84.57415334023,85.981696392177
