"","UpstreamRegulator","X","Group","Tissue","pval","padj","ES","NES","nMoreExtreme","size"
"405","IFNB1",21,"Young_vs_LTAL","Muscle",0.000710227272727273,0.000710227272727273,0.582942675785451,2.23058006352996,0,120
"406","IFNB1",22,"LTAL_vs_LTDR","Skin",0.0398742554599603,0.0398742554599603,0.409845575653108,1.38485011601915,240,122
"407","IFNB1",23,"LTAL_vs_STDR","Skin",0.976102018274927,0.976102018274927,0.265757627013675,0.610135729109068,9720,128
"408","IFNB1",24,"Young_vs_LTAL","Skin",0.66113574595909,0.66113574595909,-0.244808267999979,-0.901119849478963,4621,118
"409","IFNG",1,"LTAL_vs_LTDR","Blood",0.000357398141529664,0.000357398141529664,-0.334185842114638,-1.71901197130376,0,654
"410","IFNG",2,"LTAL_vs_STDR","Blood",0.000387446726075165,0.000387446726075165,-0.287129846858268,-1.42752180493624,0,694
"411","IFNG",3,"Young_vs_LTAL","Blood",0.000799360511590727,0.000799360511590727,0.297013561861851,1.46858869986013,0,734
"412","IFNG",4,"LTAL_vs_LTDR","Brain",0.000558534405719392,0.000558534405719392,-0.343677474084778,-1.39237285972993,4,838
"413","IFNG",5,"LTAL_vs_STDR","Brain",0.00124501992031873,0.00124501992031873,-0.274589775931049,-1.32367107995118,4,833
"414","IFNG",6,"Young_vs_LTAL","Brain",0.0102040816326531,0.0102040816326531,0.421879360788645,1.88221098580393,0,845
"415","IFNG",7,"LTAL_vs_LTDR","Heart",0.00440528634361234,0.00440528634361234,-0.342425231763373,-1.65502299942973,0,871
"416","IFNG",8,"LTAL_vs_STDR","Heart",0.000100928542591845,0.000100928542591845,-0.377823454599796,-1.47902059603259,0,845
"417","IFNG",9,"Young_vs_LTAL","Heart",0.814018598140186,0.814018598140186,0.368077357747084,0.907137476352934,8140,861
"418","IFNG",10,"LTAL_vs_LTDR","Kidney",0.000106700810926163,0.000106700810926163,-0.442392389249067,-1.74487173292719,0,870
"419","IFNG",11,"LTAL_vs_STDR","Kidney",0.00110987791342952,0.00110987791342952,-0.379289958375794,-1.77039030990969,0,875
"420","IFNG",12,"Young_vs_LTAL","Kidney",0.000127000254000508,0.000127000254000508,0.491228741081972,1.91518160786275,0,878
"421","IFNG",13,"LTAL_vs_LTDR","Liver",0.00115752920130485,0.00115752920130485,-0.319554542910205,-1.37500395949442,10,774
"422","IFNG",14,"LTAL_vs_STDR","Liver",0.00043308791684712,0.00043308791684712,-0.334703672691281,-1.53720162000546,0,784
"423","IFNG",15,"Young_vs_LTAL","Liver",0.000236602389684136,0.000236602389684136,0.345008038156137,1.46061151045703,1,754
"424","IFNG",16,"LTAL_vs_LTDR","Lung",0.000303398058252427,0.000303398058252427,-0.363704298622762,-1.74412660835567,0,885
"425","IFNG",17,"LTAL_vs_STDR","Lung",0.0052444594823211,0.0052444594823211,-0.28383897003034,-1.300220131047,30,867
"426","IFNG",18,"Young_vs_LTAL","Lung",0.000677506775067751,0.000677506775067751,0.322023508014476,1.58647020450594,0,884
"427","IFNG",19,"LTAL_vs_LTDR","Muscle",0.0345228040540541,0.0345228040540541,-0.318332419247131,-1.22890161639266,326,821
"428","IFNG",20,"LTAL_vs_STDR","Muscle",0.00624099855976956,0.00624099855976956,-0.317612846937703,-1.29146689464355,25,834
"429","IFNG",21,"Young_vs_LTAL","Muscle",0.0769230769230769,0.0769230769230769,0.373930515218547,1.67403963764878,0,835
"430","IFNG",22,"LTAL_vs_LTDR","Skin",0.00523961661341853,0.00523961661341853,0.318727319593209,1.29553462384029,40,840
"431","IFNG",23,"LTAL_vs_STDR","Skin",1,1,-0.201732256273439,NA,0,864
"432","IFNG",24,"Young_vs_LTAL","Skin",0.613415034467666,0.613415034467666,-0.2210313101018,-0.963815056685042,5605,815
"433","IFNL1",1,"LTAL_vs_LTDR","Blood",0.000231160425335183,0.000231160425335183,-0.700261633501961,-2.62080767236005,0,57
"434","IFNL1",2,"LTAL_vs_STDR","Blood",0.000246366100024637,0.000246366100024637,-0.676979995939514,-2.50458992590881,0,57
"435","IFNL1",3,"Young_vs_LTAL","Blood",0.000283687943262411,0.000283687943262411,0.61066848557024,2.24336529819285,0,57
"436","IFNL1",4,"LTAL_vs_LTDR","Brain",0.000303766707168894,0.000303766707168894,-0.606578131497637,-1.85237379465847,1,59
"437","IFNL1",5,"LTAL_vs_STDR","Brain",0.000827985924239288,0.000827985924239288,-0.571693411644555,-1.96310547472233,3,56
