"","Lung_LTDR_rep1","Lung_LTDR_rep2","Lung_LTDR_rep3","Lung_LTAL_rep2","Lung_LTAL_rep3","Lung_Young_rep1","Lung_Young_rep2","Lung_Young_rep3","Lung_STDR_rep1","Lung_STDR_rep2","Lung_STDR_rep3"
"Cyp1a1",34.215720390212,35.5477197961745,117.375407395712,62.1941538220278,72.9104338148783,87.6959734752593,69.743671416403,58.7981165823203,72.3454955657534,77.2832601666427,30.8450690544598
"Cyp1a2",1.42565501625883,1.51266892749679,0.924215806265446,3.65847963658987,0.922916883732636,0,1.07297956025235,0,0,2.93480734810036,21.0307289007681
"Cyp1b1",218.838044995731,123.282517590988,169.131492546577,208.533339285623,268.568813166197,169.697403218359,149.144158875077,108.721045755988,188.84992998333,132.066330664516,590.26245781489
"Cyp20a1",419.855402288226,313.878802455584,403.882307338,398.774280388296,391.316758702638,308.644270283055,348.718357082015,329.49133254621,410.584176132912,384.459762601147,358.924439906441
"Cyp21a1",0,0,0,1.21949321219662,0,0,0,0,0,0.978269116033453,0
"Cyp24a1",0.712827508129416,0,0.924215806265446,1.21949321219662,0,0,0,1.10939842608151,0.93955189046433,0,0
"Cyp26a1",0.712827508129416,3.78167231874197,1.84843161253089,2.43898642439325,1.84583376746527,1.13890874643194,2.14595912050471,1.10939842608151,0.93955189046433,0,1.40204859338454
"Cyp26b1",96.2317135974712,125.551520982233,211.645419634787,45.1212488512751,251.95630925901,635.511080509022,303.653215551416,291.771786059438,70.4663917848247,82.17460574681,121.978227624455
"Cyp26c1",2.85131003251767,6.05067570998716,0.924215806265446,1.21949321219662,0,2.27781749286388,2.14595912050471,6.65639055648909,2.81865567139299,4.89134558016726,2.80409718676907
"Cyp27a1",221.689355028248,155.804899532169,250.462483497936,107.315402673303,154.12711958335,157.169407007608,139.487342832806,167.519162338309,219.855142368653,214.240936411326,308.450690544598
"Cyp27b1",2.85131003251767,1.51266892749679,2.77264741879634,1.21949321219662,0,0,3.21893868075706,0,1.87910378092866,2.93480734810036,4.20614578015361
"Cyp2a12",9.97958511381183,9.83234802872913,9.24215806265446,2.43898642439325,4.61458441866318,1.13890874643194,1.07297956025235,2.21879685216303,1.87910378092866,5.86961469620072,63.0921867023042
"Cyp2a22",2.13848252438825,1.51266892749679,0.924215806265446,0,0,0,1.07297956025235,0,0,3.91307646413381,23.8348260875371
"Cyp2a4",16.3950326869766,31.0097130136842,16.635884512778,29.267837092719,8.30625195359373,1.13890874643194,12.8757547230282,1.10939842608151,2.81865567139299,17.6088440886021,107.957741690609
"Cyp2a5",3484.30085973659,1143.57770918757,1062.84817720526,542.674479427498,887.846042150796,185.642125668406,197.428239086433,419.352605058812,337.299128676694,203.479976134958,379.955168807209
"Cyp2ab1",24.2361352764002,14.3703548112195,12.9390212877162,40.2432760024886,17.5354207909201,14.8058137036152,28.9704481268135,26.6255622259563,6.57686323325031,14.6740367405018,44.8655549883052
"Cyp2b10",5644.16820936872,5691.41683970667,8165.44664835522,2696.29949216674,3842.10298697896,3549.97856262835,4191.05816234569,3006.4697346809,13339.7577408126,9104.75066292334,5183.37364974263
"Cyp2b13",0,2.26900339124518,0.924215806265446,0,0.922916883732636,0,0,0,1.87910378092866,1.95653823206691,9.81434015369176
"Cyp2b19",4.98979255690591,6.05067570998716,1.84843161253089,9.75594569757299,0,3.41672623929582,3.21893868075706,6.65639055648909,0,0,2.80409718676907
"Cyp2b23",1.42565501625883,0,0,0,0.922916883732636,1.13890874643194,0,0,0,0,0
"Cyp2b9",8.553930097553,6.80701017373555,0.924215806265446,1.21949321219662,4.61458441866318,1.13890874643194,2.14595912050471,1.10939842608151,0.93955189046433,5.86961469620072,68.7003810758423
"Cyp2c29",19.9591702276237,18.1520271299615,15.7116687065126,20.7313846073426,3.69166753493055,1.13890874643194,2.14595912050471,0,0,17.6088440886021,107.957741690609
"Cyp2c37",4.2769650487765,2.26900339124518,0,4.8779728487865,0.922916883732636,0,3.21893868075706,0,0,7.82615292826762,77.1126726361495
"Cyp2c38",2.13848252438825,5.29434124623876,1.84843161253089,0,0.922916883732636,0,3.21893868075706,0,0,0.978269116033453,9.81434015369176
"Cyp2c39",0,0.756334463748395,0,0,0,0,0,0,0,0,1.40204859338454
"Cyp2c40",2.13848252438825,0.756334463748395,3.69686322506178,2.43898642439325,0,0,1.07297956025235,1.10939842608151,0,1.95653823206691,15.4225345272299
"Cyp2c44",20.6719977357531,10.5886824924775,11.0905896751854,9.75594569757299,2.76875065119791,9.11126997145551,5.36489780126177,3.32819527824454,7.51641512371464,7.82615292826762,26.6389232743062
"Cyp2c50",4.98979255690591,6.05067570998716,0,0,0.922916883732636,0,0,0,0,0,21.0307289007681
"Cyp2c54",0,2.26900339124518,0,0,0,0,2.14595912050471,0,0,1.95653823206691,2.80409718676907
"Cyp2c55",0.712827508129416,0.756334463748395,0,0,1.84583376746527,2.27781749286388,1.07297956025235,0,20.6701415902153,0,0
"Cyp2c65",2.13848252438825,0,0,1.21949321219662,0.922916883732636,0,0,4.43759370432606,2.81865567139299,0,0
"Cyp2c66",0,0,0,0,0.922916883732636,0,1.07297956025235,0,0,0,0
"Cyp2c67",2.13848252438825,0.756334463748395,0,0,0,0,1.07297956025235,0,0,0.978269116033453,5.60819437353815
"Cyp2c68",3.56413754064708,5.29434124623876,3.69686322506178,2.43898642439325,0.922916883732636,0,5.36489780126177,1.10939842608151,0.93955189046433,2.93480734810036,25.2368746809217
"Cyp2c69",2.13848252438825,1.51266892749679,0,2.43898642439325,0.922916883732636,0,0,0,0,3.91307646413381,18.226631713999
"Cyp2c70",15.6822051788472,15.8830237387163,16.635884512778,26.8288506683257,4.61458441866318,1.13890874643194,1.07297956025235,0,0,0.978269116033453,39.257360614767
"Cyp2d10",5.70262006503533,6.80701017373555,2.77264741879634,7.31695927317974,0.922916883732636,0,1.07297956025235,0,0.93955189046433,3.91307646413381,29.4430204610753
"Cyp2d11",3.56413754064708,0,0.924215806265446,1.21949321219662,0.922916883732636,1.13890874643194,0,0,1.87910378092866,0.978269116033453,1.40204859338454
"Cyp2d12",0.712827508129416,0,0,1.21949321219662,0.922916883732636,0,0,0,0,0,0
"Cyp2d22",279.428383186731,238.245356080744,293.900626392412,169.509556495331,195.658379351319,310.922087775919,247.858278418294,323.944340415802,481.990119808201,458.808215419689,517.355930958894
"Cyp2d26",15.6822051788472,23.4463683762002,6.46951064385812,12.1949321219662,4.61458441866318,1.13890874643194,4.29191824100941,1.10939842608151,0,9.78269116033453,72.9065268559959
"Cyp2d34",0.712827508129416,0,0,0,0,0,1.07297956025235,0,2.81865567139299,0,0
"Cyp2d37-ps",0.712827508129416,2.26900339124518,0,0,0,0,0,0,0,0.978269116033453,8.41229156030722
"Cyp2d40",1.42565501625883,0,0.924215806265446,0,0.922916883732636,0,1.07297956025235,0,0,0.978269116033453,1.40204859338454
"Cyp2d9",0,0,0,0,0,0,1.07297956025235,0,1.87910378092866,0.978269116033453,0
"Cyp2e1",814.049014283793,266.986065703183,650.647927610874,80.4865520049772,150.43545204842,217.5315705685,184.552484363405,171.956756042635,125.89995332222,106.631333647646,3749.07793871025
